2021-12-01 15:21:43 status unpacked simplescreenrecorder:amd64 0.3.11-1build2
2021-12-01 15:21:43 status half-configured simplescreenrecorder:amd64 0.3.11-1build2
2021-12-01 15:21:43 status installed simplescreenrecorder:amd64 0.3.11-1build2
2021-12-01 15:21:43 trigproc mime-support:all 3.64ubuntu1 <none>
2021-12-01 15:21:43 status half-configured mime-support:all 3.64ubuntu1
2021-12-01 15:21:43 status installed mime-support:all 3.64ubuntu1
2021-12-01 15:21:43 trigproc hicolor-icon-theme:all 0.17-2 <none>
2021-12-01 15:21:43 status half-configured hicolor-icon-theme:all 0.17-2
2021-12-01 15:21:43 status installed hicolor-icon-theme:all 0.17-2
2021-12-01 15:21:43 trigproc gnome-menus:amd64 3.36.0-1ubuntu1 <none>
2021-12-01 15:21:43 status half-configured gnome-menus:amd64 3.36.0-1ubuntu1
2021-12-01 15:21:43 status installed gnome-menus:amd64 3.36.0-1ubuntu1
2021-12-01 15:21:43 trigproc libc-bin:amd64 2.31-0ubuntu9.2 <none>
2021-12-01 15:21:43 status half-configured libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 15:21:43 status installed libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 15:21:43 trigproc man-db:amd64 2.9.1-1 <none>
2021-12-01 15:21:43 status half-configured man-db:amd64 2.9.1-1
2021-12-01 15:21:44 status installed man-db:amd64 2.9.1-1
2021-12-01 15:21:44 trigproc desktop-file-utils:amd64 0.24-1ubuntu3 <none>
2021-12-01 15:21:44 status half-configured desktop-file-utils:amd64 0.24-1ubuntu3
2021-12-01 15:21:44 status installed desktop-file-utils:amd64 0.24-1ubuntu3
2021-12-06 12:38:35 startup packages remove
2021-12-06 12:38:35 status installed linux-modules-extra-5.11.0-38-generic:amd64 5.11.0-38.42~20.04.1
2021-12-06 12:38:35 remove linux-modules-extra-5.11.0-38-generic:amd64 5.11.0-38.42~20.04.1 <none>
2021-12-06 12:38:35 status half-configured linux-modules-extra-5.11.0-38-generic:amd64 5.11.0-38.42~20.04.1
2021-12-06 12:38:35 status half-installed linux-modules-extra-5.11.0-38-generic:amd64 5.11.0-38.42~20.04.1
2021-12-06 12:38:36 status config-files linux-modules-extra-5.11.0-38-generic:amd64 5.11.0-38.42~20.04.1
2021-12-06 12:38:36 startup packages configure
2021-12-06 12:38:39 startup packages remove
2021-12-06 12:38:39 status installed linux-image-5.11.0-38-generic:amd64 5.11.0-38.42~20.04.1
2021-12-06 12:38:39 status installed linux-modules-5.11.0-38-generic:amd64 5.11.0-38.42~20.04.1
2021-12-06 12:38:39 remove linux-modules-5.11.0-38-generic:amd64 5.11.0-38.42~20.04.1 <none>
2021-12-06 12:38:39 status half-configured linux-modules-5.11.0-38-generic:amd64 5.11.0-38.42~20.04.1
2021-12-06 12:38:39 status half-installed linux-modules-5.11.0-38-generic:amd64 5.11.0-38.42~20.04.1
2021-12-06 12:38:39 status config-files linux-modules-5.11.0-38-generic:amd64 5.11.0-38.42~20.04.1
2021-12-06 12:38:39 remove linux-image-5.11.0-38-generic:amd64 5.11.0-38.42~20.04.1 <none>
2021-12-06 12:38:39 status half-configured linux-image-5.11.0-38-generic:amd64 5.11.0-38.42~20.04.1
2021-12-06 12:38:39 status half-installed linux-image-5.11.0-38-generic:amd64 5.11.0-38.42~20.04.1
2021-12-06 12:38:42 status config-files linux-image-5.11.0-38-generic:amd64 5.11.0-38.42~20.04.1
2021-12-06 12:38:42 startup packages configure
